


==========================================================
vector size :  10
alphabet size : 56
python3 tf.py SL2 1k 10 ../sl_train56 ../sl_test56
SL2 1k
Test1 Accuracies :  0.657143
Test2 Accuracies :  0.638
1   0.8  count= 20.0
2   0.666667  count= 60.0
3   0.85  count= 40.0
4   0.725  count= 40.0
5   0.725  count= 40.0
6   0.65  count= 40.0
7   0.725  count= 40.0
8   0.725  count= 40.0
9   0.7  count= 40.0
10   0.7  count= 40.0
11   0.725  count= 40.0
12   0.6  count= 40.0
13   0.55  count= 40.0
14   0.65  count= 40.0
15   0.575  count= 40.0
16   0.575  count= 40.0
17   0.675  count= 40.0
18   0.65  count= 40.0
19   0.675  count= 40.0
20   0.6  count= 40.0
21   0.575  count= 40.0
22   0.725  count= 40.0
23   0.6  count= 40.0
24   0.575  count= 40.0
25   0.640909  count= 440.0
26   0.75 count= 40.0
27   0.625 count= 40.0
28   0.75 count= 40.0
29   0.625 count= 40.0
30   0.575 count= 40.0
31   0.625 count= 40.0
32   0.575 count= 40.0
33   0.625 count= 40.0
34   0.7 count= 40.0
35   0.575 count= 40.0
36   0.65 count= 40.0
37   0.725 count= 40.0
38   0.625 count= 40.0
39   0.55 count= 40.0
40   0.6 count= 40.0
41   0.65 count= 40.0
42   0.6 count= 40.0
43   0.725 count= 40.0
44   0.65 count= 40.0
45   0.625 count= 40.0
46   0.6 count= 40.0
47   0.575 count= 40.0
48   0.625 count= 40.0
49   0.65 count= 40.0
50   0.675 count= 40.0
python3 tf.py SL2 10k 10 ../sl_train56 ../sl_test56
SL2 10k
Test1 Accuracies :  0.515217
Test2 Accuracies :  0.5
2   0.658333  count= 600.0
3   0.6375  count= 400.0
4   0.575  count= 400.0
5   0.555  count= 400.0
6   0.5075  count= 400.0
7   0.5  count= 400.0
8   0.505  count= 400.0
9   0.5  count= 400.0
10   0.5  count= 400.0
11   0.5025  count= 400.0
12   0.5025  count= 400.0
13   0.5  count= 400.0
14   0.5  count= 400.0
15   0.5025  count= 400.0
16   0.5  count= 400.0
17   0.5  count= 400.0
18   0.5  count= 400.0
19   0.5  count= 400.0
20   0.5  count= 400.0
21   0.5  count= 400.0
22   0.5  count= 400.0
23   0.5  count= 400.0
24   0.5  count= 400.0
25   0.5  count= 4400.0
26   0.5 count= 400.0
27   0.5 count= 400.0
28   0.5 count= 400.0
29   0.5 count= 400.0
30   0.5 count= 400.0
31   0.5 count= 400.0
32   0.5 count= 400.0
33   0.5 count= 400.0
34   0.5 count= 400.0
35   0.5 count= 400.0
36   0.5 count= 400.0
37   0.5 count= 400.0
38   0.5 count= 400.0
39   0.5 count= 400.0
40   0.5 count= 400.0
41   0.5 count= 400.0
42   0.5 count= 400.0
43   0.5 count= 400.0
44   0.5 count= 400.0
45   0.5 count= 400.0
46   0.5 count= 400.0
47   0.5 count= 400.0
48   0.5 count= 400.0
49   0.5 count= 400.0
50   0.5 count= 400.0
python3 tf.py SL2 100k 10 ../sl_train56 ../sl_test56
SL2 100k
Test1 Accuracies :  0.658619
Test2 Accuracies :  0.63642
2   0.9905  count= 2000.0
3   0.74975  count= 4000.0
4   0.7055  count= 4000.0
5   0.701  count= 4000.0
6   0.67675  count= 4000.0
7   0.6695  count= 4000.0
8   0.66775  count= 4000.0
9   0.66225  count= 4000.0
10   0.6525  count= 4000.0
11   0.64525  count= 4000.0
12   0.6485  count= 4000.0
13   0.652  count= 4000.0
14   0.6465  count= 4000.0
15   0.64275  count= 4000.0
16   0.63675  count= 4000.0
17   0.65225  count= 4000.0
18   0.63075  count= 4000.0
19   0.64775  count= 4000.0
20   0.64925  count= 4000.0
21   0.649  count= 4000.0
22   0.64175  count= 4000.0
23   0.648  count= 4000.0
24   0.63575  count= 4000.0
25   0.641568  count= 44000.0
26   0.6395 count= 4000.0
27   0.639 count= 4000.0
28   0.63325 count= 4000.0
29   0.6445 count= 4000.0
30   0.63125 count= 4000.0
31   0.63675 count= 4000.0
32   0.636 count= 4000.0
33   0.64375 count= 4000.0
34   0.64025 count= 4000.0
35   0.6385 count= 4000.0
36   0.636 count= 4000.0
37   0.63375 count= 4000.0
38   0.62925 count= 4000.0
39   0.63025 count= 4000.0
40   0.64325 count= 4000.0
41   0.64125 count= 4000.0
42   0.63825 count= 4000.0
43   0.64 count= 4000.0
44   0.63 count= 4000.0
45   0.62525 count= 4000.0
46   0.63175 count= 4000.0
47   0.6355 count= 4000.0
48   0.6385 count= 4000.0
49   0.6365 count= 4000.0
50   0.63825 count= 4000.0
==========================================================
vector size :  30
alphabet size : 56
python3 tf.py SL2 1k 30 ../sl_train56 ../sl_test56
SL2 1k
Test1 Accuracies :  0.722857
Test2 Accuracies :  0.647
1   0.85  count= 20.0
2   0.666667  count= 60.0
3   0.875  count= 40.0
4   0.825  count= 40.0
5   0.775  count= 40.0
6   0.75  count= 40.0
7   0.775  count= 40.0
8   0.825  count= 40.0
9   0.825  count= 40.0
10   0.8  count= 40.0
11   0.725  count= 40.0
12   0.65  count= 40.0
13   0.65  count= 40.0
14   0.675  count= 40.0
15   0.625  count= 40.0
16   0.625  count= 40.0
17   0.825  count= 40.0
18   0.7  count= 40.0
19   0.775  count= 40.0
20   0.675  count= 40.0
21   0.625  count= 40.0
22   0.775  count= 40.0
23   0.7  count= 40.0
24   0.7  count= 40.0
25   0.7  count= 440.0
26   0.8 count= 40.0
27   0.675 count= 40.0
28   0.725 count= 40.0
29   0.575 count= 40.0
30   0.55 count= 40.0
31   0.675 count= 40.0
32   0.675 count= 40.0
33   0.6 count= 40.0
34   0.75 count= 40.0
35   0.625 count= 40.0
36   0.75 count= 40.0
37   0.725 count= 40.0
38   0.65 count= 40.0
39   0.55 count= 40.0
40   0.55 count= 40.0
41   0.675 count= 40.0
42   0.625 count= 40.0
43   0.75 count= 40.0
44   0.65 count= 40.0
45   0.625 count= 40.0
46   0.625 count= 40.0
47   0.475 count= 40.0
48   0.6 count= 40.0
49   0.7 count= 40.0
50   0.575 count= 40.0
python3 tf.py SL2 10k 30 ../sl_train56 ../sl_test56
SL2 10k
Test1 Accuracies :  0.525217
Test2 Accuracies :  0.5054
2   0.658333  count= 600.0
