


==========================================================
vector size :  10
alphabet size : 3
python3 tf.py SP2 1k 10 ../sp_train3 ../sp_test3
SP2 1k
Test1 Accuracies :  0.520455
Test2 Accuracies :  0.493
3   0.5  count= 40.0
4   0.55  count= 40.0
5   0.5  count= 40.0
6   0.525  count= 40.0
7   0.625  count= 40.0
8   0.475  count= 40.0
9   0.5  count= 40.0
10   0.45  count= 40.0
11   0.475  count= 40.0
12   0.575  count= 40.0
13   0.6  count= 40.0
14   0.425  count= 40.0
15   0.475  count= 40.0
16   0.4  count= 40.0
17   0.525  count= 40.0
18   0.5  count= 40.0
19   0.5  count= 40.0
20   0.5  count= 40.0
21   0.5  count= 40.0
22   0.5  count= 40.0
23   0.425  count= 40.0
24   0.575  count= 40.0
25   0.552273  count= 440.0
26   0.5 count= 40.0
27   0.45 count= 40.0
28   0.525 count= 40.0
29   0.525 count= 40.0
30   0.45 count= 40.0
31   0.525 count= 40.0
32   0.575 count= 40.0
33   0.575 count= 40.0
34   0.5 count= 40.0
35   0.5 count= 40.0
36   0.575 count= 40.0
37   0.5 count= 40.0
38   0.425 count= 40.0
39   0.425 count= 40.0
40   0.45 count= 40.0
41   0.45 count= 40.0
42   0.55 count= 40.0
43   0.575 count= 40.0
44   0.425 count= 40.0
45   0.475 count= 40.0
46   0.5 count= 40.0
47   0.375 count= 40.0
48   0.525 count= 40.0
49   0.5 count= 40.0
50   0.45 count= 40.0
python3 tf.py SP2 10k 10 ../sp_train3 ../sp_test3
SP2 10k
Test1 Accuracies :  0.5
Test2 Accuracies :  0.5
4   0.5  count= 400.0
5   0.5  count= 400.0
6   0.5  count= 400.0
7   0.5  count= 400.0
8   0.5  count= 400.0
9   0.5  count= 400.0
10   0.5  count= 400.0
11   0.5  count= 400.0
12   0.5  count= 400.0
13   0.5  count= 400.0
14   0.5  count= 400.0
15   0.5  count= 400.0
16   0.5  count= 400.0
17   0.5  count= 400.0
18   0.5  count= 400.0
19   0.5  count= 400.0
20   0.5  count= 400.0
21   0.5  count= 400.0
22   0.5  count= 400.0
23   0.5  count= 400.0
24   0.5  count= 400.0
25   0.5  count= 4400.0
26   0.5 count= 400.0
27   0.5 count= 400.0
28   0.5 count= 400.0
29   0.5 count= 400.0
30   0.5 count= 400.0
31   0.5 count= 400.0
32   0.5 count= 400.0
33   0.5 count= 400.0
34   0.5 count= 400.0
35   0.5 count= 400.0
36   0.5 count= 400.0
37   0.5 count= 400.0
38   0.5 count= 400.0
39   0.5 count= 400.0
40   0.5 count= 400.0
41   0.5 count= 400.0
42   0.5 count= 400.0
43   0.5 count= 400.0
44   0.5 count= 400.0
45   0.5 count= 400.0
46   0.5 count= 400.0
47   0.5 count= 400.0
48   0.5 count= 400.0
49   0.5 count= 400.0
50   0.5 count= 400.0
python3 tf.py SP2 100k 10 ../sp_train3 ../sp_test3
SP2 100k
Test1 Accuracies :  0.5
Test2 Accuracies :  0.5
6   0.5  count= 4000.0
7   0.5  count= 4000.0
8   0.5  count= 4000.0
9   0.5  count= 4000.0
10   0.5  count= 4000.0
11   0.5  count= 4000.0
12   0.5  count= 4000.0
13   0.5  count= 4000.0
14   0.5  count= 4000.0
15   0.5  count= 4000.0
16   0.5  count= 4000.0
17   0.5  count= 4000.0
18   0.5  count= 4000.0
19   0.5  count= 4000.0
20   0.5  count= 4000.0
21   0.5  count= 4000.0
22   0.5  count= 4000.0
23   0.5  count= 4000.0
24   0.5  count= 4000.0
